"AdviceID","AlgorithmID","DateCreated","LastUpDate","LastUpDate_XHTML","Advice","Advice_XHTML","PatientHealthInfo","AdviceSnap","AlgorithmOrder"
"385","12","2000-05-05 17:27:51","2021-07-30 00:00:00","2012-07-20 04:31:27","REASSURANCE AND EDUCATION - STOMACH PAIN:
* It doesn't sound like a serious stomachache. 
* A mild stomachache can be from indigestion, stomach irritation, or overeating. 
* Sometimes a stomachache signals the onset of a vomiting illness from a virus.
* Here is some care advice that should help.","<strong>Reassurance and Education - Stomach Pain:</strong><ul><li>It doesn't sound like a serious stomachache. </li><li>A mild stomachache can be from indigestion, stomach irritation, or overeating. </li><li>Sometimes a stomachache signals the onset of a vomiting illness from a virus.</li><li><em>Here is some care advice that should help.</em></li></ul>","True","REASSURANCE AND EDUCATION - ST","1064"
"386","12","2000-05-05 17:27:52","2020-05-21 00:00:00","2012-07-21 01:14:09","REST:
* Lie down.
* Rest until you feel better.","<strong>Rest:</strong><ul><li>Lie down.</li><li>Rest until you feel better.</li></ul>","True","REST:
* Lie down.
* Rest unt","2"
"387","12","2000-05-05 17:28:00","2020-12-30 00:00:00","2012-07-13 01:53:38","DRINK CLEAR FLUIDS: 
* Drink clear fluids only (e.g., water, flat soft drinks or half-strength Gatorade).
* Sip small amounts at a time, until you feel better and the pain is gone.
* Then slowly return to a regular diet.","<strong>Drink Clear Fluids:</strong> <ul><li>Drink clear fluids only (e.g., water, flat soft drinks or half-strength Gatorade).</li><li>Sip small amounts at a time, until you feel better and the pain is gone.</li><li>Then slowly return to a regular diet.</li></ul>","True","DRINK CLEAR FLUIDS: 
* Drink ","1066"
"389","12","2000-05-05 17:28:34","2020-12-30 00:00:00","2012-07-19 00:58:02","PASS A STOOL:
* Sit on the toilet and try to pass a stool (have a bowel movement).
* This may relieve pain if it is due to constipation, gas, or impending diarrhea.","<strong>Pass a Stool:</strong><ul><li>Sit on the toilet and try to pass a stool (have a bowel movement).</li><li>This may relieve pain if it is due to constipation, gas, or impending diarrhea.</li></ul>","True","PASS A STOOL:
* Sit on the to","1063"
"390","12","2000-05-05 17:29:37","2021-10-27 00:00:00","2012-06-30 04:53:08","AVOID ASPIRIN AND NSAIDS:
* Avoid taking aspirin and anti-inflammatory medicines (i.e., NSAIDS like ibuprofen/Motrin, naproxen/Aleve) unless you have been told to do so by a doctor (or NP/PA).
* These drugs can irritate the stomach lining and make the pain worse.
* Acetaminophen (e.g., Tylenol) does not cause stomach irritation.","<strong>Avoid Aspirin and NSAIDs:</strong><ul><li>Avoid taking aspirin and anti-inflammatory medicines (i.e., NSAIDS like ibuprofen/Motrin, naproxen/Aleve) unless you have been told to do so by a doctor (or NP/PA).</li><li>These drugs can irritate the stomach lining and make the pain worse.</li><li>Acetaminophen (e.g., Tylenol) does not cause stomach irritation.</li></ul>","True","AVOID ASPIRIN AND NSAIDS:
* A","1067"
"391","12","2000-05-05 17:29:46","2021-06-21 00:00:00","2012-07-12 03:20:18","EXPECTED COURSE - ABDOMINAL PAIN:
* With harmless causes, the pain is usually better or goes away within 2 hours.
* With viral gastroenteritis ('stomach flu'), belly cramps may occur before each bout of vomiting or diarrhea and may last 2 to 3 days.
* With serious causes (such as appendicitis) the pain becomes constant and more severe.","<strong>Expected Course - Abdominal Pain:</strong><ul><li>With harmless causes, the pain is usually better or goes away within 2 hours.</li><li>With viral gastroenteritis (&quot;stomach flu&quot;), belly cramps may occur before each bout of vomiting or diarrhea and may last 2 to 3 days.</li><li>With serious causes (such as appendicitis) the pain becomes constant and more severe.</li></ul>","True","EXPECTED COURSE - ABDOMINAL PA","1060"
"392","12","2000-05-05 17:30:06","2021-07-30 00:00:00","2012-07-05 00:49:49","CALL BACK IF:
* Severe pain lasts over 1 hour
* Constant pain lasts over 2 hours
* Intermittent pain (e.g., comes and goes, cramps) lasts over 48 hours
* You become worse","<strong>Call Back If:</strong><ul><li>Severe pain lasts over 1 hour</li><li>Constant pain lasts over 2 hours</li><li>Intermittent pain (e.g., comes and goes, cramps) lasts over 48 hours</li><li>You become worse</li></ul>","True","CALL BACK IF:
* Severe pain l","8"
"393","12","2000-05-05 17:30:20","2001-02-21 21:29:22","2012-07-07 03:51:46","CARE ADVICE given per Abdominal Pain, Male (Adult) guideline.","<strong>Care Advice </strong>given per Abdominal Pain, Male (Adult) guideline.","False","CARE ADVICE given per Abdomina","1"
"394","12","2000-05-05 17:30:38","2020-05-21 00:00:00","2012-07-21 01:14:15","REST:
* Lie down.
* Rest until seen.","<strong>Rest:</strong><ul><li>Lie down.</li><li>Rest until seen.</li></ul>","True","REST:
* Lie down.
* Rest unt","10"
"395","12","2000-05-05 17:30:52","2021-03-17 00:00:00","2012-07-18 03:21:23","NOTHING BY MOUTH:
* Do not eat or drink anything for now.
* Reason: condition may need surgery and general anesthesia.","<strong>Nothing by Mouth:</strong><ul><li>Do not eat or drink anything for now.</li><li><em>Reason:</em> condition may need surgery and general anesthesia.</li></ul>","False","NOTHING BY MOUTH:
* Do not ea","83"
"396","12","2000-05-05 17:31:07","2020-12-30 00:00:00","2012-07-21 01:53:46","BRING A SAMPLE:
* Bring in a sample of anything that looks like blood.
* Use a plastic bag or container.
* Reason: the doctor may want to test it.","<strong>Bring a Sample:</strong><ul><li>Bring in a sample of anything that looks like blood.</li><li>Use a plastic bag or container.</li><li><em>Reason:</em> the doctor may want to test it.</li></ul>","True","BRING A SAMPLE:
* Bring in a ","1069"
"398","12","2000-05-05 17:31:26","2021-07-30 00:00:00","2012-07-05 00:29:28","CALL BACK IF:
* You become worse","<strong>Call Back If:</strong><ul><li>You become worse</li></ul>","True","CALL BACK IF:
* You become wo","89"
"399","12","2000-05-05 17:31:28","2020-05-21 00:00:00","2012-07-11 03:07:10","CRAMPS:
* Your cramps may be due to an intestinal virus or from something that you ate.
* During cramps, drink some water, then lie down and try to find a comfortable position.","<strong>Cramps:</strong><ul><li>Your cramps may be due to an intestinal virus or from something that you ate.</li><li>During cramps, drink some water, then lie down and try to find a comfortable position.</li></ul>","True","CRAMPS:
* Your cramps may be ","12"
"400","12","2000-05-05 17:32:18","2020-05-21 00:00:00","2012-07-11 03:42:04","DIET:
* Drink adequate fluids. Eat a bland diet.
* Avoid alcohol or caffeinated beverages.
* Avoid greasy or fatty foods.","<strong>Diet:</strong><ul><li>Drink adequate fluids. Eat a bland diet.</li><li>Avoid alcohol or caffeinated beverages.</li><li>Avoid greasy or fatty foods.</li></ul>","True","DIET:
* Drink adequate fluids","13"
"401","12","2000-05-05 17:32:26","2021-07-30 00:00:00","2012-08-27 10:21:52","REASSURANCE AND EDUCATION - GET A MEDICAL CHECKUP:
* It doesn't sound like a serious stomachache.
* But, recurrent abdominal pains deserve a complete medical checkup.","<strong>Reassurance and Education - Get a Medical Checkup:</strong><ul><li>It doesn't sound like a serious stomachache.</li><li>But, recurrent abdominal pains deserve a complete medical checkup.</li></ul>","True","REASSURANCE AND EDUCATION - GE","15"
"405","12","2000-05-05 20:47:08","2020-10-03 00:00:00","2012-07-11 23:50:55","ANOTHER ADULT SHOULD DRIVE:
* It is better and safer if another adult drives instead of you.","<strong>Another Adult Should Drive:</strong><ul><li>It is better and safer if another adult drives instead of you.</li></ul>","True","ANOTHER ADULT SHOULD DRIVE:
*","80"
"406","12","2000-05-05 20:47:11","2021-07-17 00:00:00","2012-07-03 02:34:06","BRING MEDICINES:
* Bring a list of your current medicines when you go to the Emergency Department (ER).
* Bring the pill bottles too. This will help the doctor (or NP/PA) to make certain you are taking the right medicines and the right dose.","<strong>Bring Medicines:</strong><ul><li>Bring a list of your current medicines when you go to the Emergency Department (ER).</li><li>Bring the pill bottles too. This will help the doctor (or NP/PA) to make certain you are taking the right medicines and the right dose.</li></ul>","True","BRING MEDICINES:
* Bring a li","81"
"408","12","2000-05-05 20:47:11","2020-10-03 00:00:00","2012-06-23 03:20:39","NOTE TO TRIAGER - AMBULANCE TRANSPORT FOR BEDRIDDEN PATIENT:
* Because of bedridden state, it is likely that the patient will need to be transported via ambulance and examined at the emergency department.
* Caregivers can arrange ambulance transport via private ambulance company or via EMS 911.","<strong>Note to Triager - Ambulance Transport for Bedridden Patient:</strong><ul><li>Because of bedridden state, it is likely that the patient will need to be transported via ambulance and examined at the emergency department.</li><li>Caregivers can arrange ambulance transport via private ambulance company or via EMS 911.</li></ul>","False","NOTE TO TRIAGER - AMBULANCE TR","82"
"1559","12","2000-07-27 21:04:51","2021-09-15 00:00:00","2012-07-11 00:18:38","BRING A BUCKET IN CASE OF VOMITING: 
* You may wish to bring a bucket, pan, or plastic bag with you in case there is more vomiting during the drive.","<strong>Bring a Bucket in Case of Vomiting:</strong> <ul><li>You may wish to bring a bucket, pan, or plastic bag with you in case there is more vomiting during the drive.</li></ul>","True","BRING A BUCKET IN CASE OF VOMI","1245"
"1560","12","2000-07-27 21:04:54","2021-04-13 00:00:00","2012-07-06 00:04:06","CALL EMS 911 NOW:
* Immediate medical attention is needed. You need to hang up and call 911 (or an ambulance).
* Triager Discretion: I'll call you back in a few minutes to be sure you were able to reach them.","<strong>Call EMS 911 Now:</strong><ul><li>Immediate medical attention is needed. You need to hang up and call 911 (or an ambulance).</li><li><em>Triager Discretion:</em> I'll call you back in a few minutes to be sure you were able to reach them.</li></ul>","False","CALL EMS 911 NOW:
* Immediate","40"
"1561","12","2000-07-27 21:04:54","2021-04-13 00:00:00","2012-07-13 04:41:21","GO TO ED NOW:
* You need to be seen in the Emergency Department.
* Go to the ED at ___________ Hospital.
* Leave now. Drive carefully.","<strong>Go to ED Now:</strong><ul><li>You need to be seen in the Emergency Department.</li><li>Go to the ED at ___________ Hospital.</li><li>Leave now. Drive carefully.</li></ul>","False","GO TO ED NOW:
* You need to b","41"
