"QuestionID","AdviceID","LastUpdate","QuestionAdviceOrder"
"160","393","2000-07-27 21:13:03","3"
"160","1560","2000-07-27 21:12:58","1"
"160","12303","2003-06-02 14:30:03","2"
"162","393","2000-05-05 20:49:44","7"
"162","396","2000-07-27 21:18:30","4"
"162","406","2000-05-05 20:49:44","5"
"162","1559","2000-07-27 21:18:02","3"
"162","1561","2000-07-27 21:17:55","1"
"162","1574","2007-02-02 08:20:58","6"
"162","6932","2001-02-17 16:42:13","2"
"163","393","2000-05-05 20:49:32","5"
"163","395","2000-07-27 21:34:23","3"
"163","405","2001-02-17 16:40:10","2"
"163","406","2000-05-05 20:49:32","4"
"163","1561","2000-07-27 21:15:11","1"
"164","393","2000-07-27 21:38:53","5"
"164","394","2000-07-27 21:38:53","3"
"164","398","2001-03-02 16:06:01","4"
"164","1563","2000-07-27 21:38:53","1"
"164","1574","2000-07-27 21:38:53","2"
"165","393","2000-05-05 20:50:35","4"
"165","405","2001-02-17 16:48:49","3"
"165","406","2001-02-17 16:48:44","2"
"165","1562","2000-07-27 21:23:01","1"
"167","393","2000-05-05 21:02:14","5"
"167","394","2000-05-05 21:02:05","3"
"167","398","2001-03-02 16:04:45","4"
"167","1563","2000-07-27 21:23:51","1"
"167","1568","2000-05-05 21:01:52","2"
"168","393","2000-05-05 20:50:15","4"
"168","395","2000-07-27 21:35:22","3"
"168","406","2000-05-05 20:50:15","2"
"168","1562","2000-07-27 21:20:45","1"
"376","393","2000-07-27 21:36:45","5"
"376","394","2000-07-27 21:36:45","3"
"376","398","2001-03-02 16:05:08","4"
"376","1563","2000-07-27 21:36:45","1"
"376","1568","2000-07-27 21:36:45","2"
"377","393","2000-07-27 21:37:18","5"
"377","398","2001-03-02 16:05:00","4"
"377","408","2000-05-05 20:51:20","3"
"377","1563","2000-07-27 21:37:18","1"
"377","1568","2000-07-27 21:37:18","2"
"378","393","2000-07-27 21:36:59","5"
"378","394","2000-07-27 21:36:59","3"
"378","398","2001-03-02 16:04:53","4"
"378","1563","2000-07-27 21:36:59","1"
"378","1568","2000-07-27 21:36:59","2"
"381","393","2000-05-05 21:03:19","5"
"381","394","2000-05-05 21:03:19","3"
"381","398","2001-03-02 16:02:22","4"
"381","1563","2000-07-27 21:38:24","1"
"381","1574","2000-05-05 21:03:19","2"
"384","386","2001-02-17 17:01:13","3"
"384","387","2000-05-05 20:52:10","4"
"384","392","2000-05-05 20:52:43","7"
"384","393","2000-05-05 20:52:52","8"
"384","401","2000-05-05 20:52:28","2"
"384","1566","2000-07-27 21:42:05","1"
"384","1573","2000-05-05 20:52:34","6"
"384","6934","2001-02-17 17:00:50","5"
"390","393","2000-07-27 21:37:41","4"
"390","394","2000-07-27 21:37:41","2"
"390","398","2001-03-02 16:05:17","3"
"390","1563","2000-07-27 21:37:41","1"
"394","386","2000-05-05 20:59:02","2"
"394","387","2000-05-05 20:59:02","3"
"394","393","2000-05-05 20:59:02","5"
"394","1564","2000-07-27 21:39:03","1"
"394","1576","2004-11-28 17:57:14","4"
"395","393","2000-05-05 20:49:10","3"
"395","406","2000-05-05 20:48:09","2"
"395","1561","2000-07-27 21:21:27","1"
"784","393","2001-02-17 16:43:21","4"
"784","406","2001-02-17 16:43:21","3"
"784","1561","2001-02-17 16:43:21","1"
"784","6932","2001-02-17 16:43:21","2"
"785","393","2000-06-11 17:24:09","4"
"785","406","2000-06-11 17:24:00","3"
"785","1561","2000-07-27 21:20:31","1"
"785","6932","2001-02-17 16:43:04","2"
"1351","393","2001-02-17 16:40:59","5"
"1351","395","2001-02-17 16:40:59","3"
"1351","405","2001-02-17 16:40:59","2"
"1351","406","2001-02-17 16:40:59","4"
"1351","1561","2001-02-17 16:40:59","1"
"2705","393","2001-03-06 08:04:02","4"
"2705","398","2004-11-28 17:59:43","3"
"2705","400","2007-09-28 11:51:13","2"
"2705","1564","2001-03-06 08:03:55","1"
"2988","4319","2000-12-10 09:20:28","1"
"2988","4339","2000-12-10 09:20:57","2"
"2989","4319","2000-12-10 09:22:18","1"
"2989","4339","2000-12-10 09:22:25","3"
"2989","4384","2000-12-10 09:22:21","2"
"2993","4320","2000-12-10 12:14:21","1"
"2993","4339","2000-12-10 12:14:41","4"
"2993","4380","2000-12-10 12:14:23","3"
"2993","13980","2005-03-13 19:23:24","2"
"2994","4320","2000-12-10 12:12:45","1"
